prime,target,clarity,prime_correct,prime_predicted,target_correct,target_predicted,target_prob,max_target_activation,max_winner_activation,n400_mean,n400_peak,n400_final,semantic_sim,semantic_condition,true_similarity
abuse,abuse,clear,True,abuse,True,abuse,0.0012403579894453287,0.02916448749601841,0.02916448749601841,0.11809968533739447,0.2568819522857666,0.2568819522857666,0.8918243050575256,same,1.0
abuse,abuse,noisy,True,abuse,False,platter,0.0012058840366080403,0.0008387173293158412,0.014518307521939278,0.17010181783884765,0.2547566294670105,0.2547566294670105,0.39095476269721985,same,1.0
account,account,clear,False,amount,False,amount,0.00124700041487813,0.034505292773246765,0.03459152951836586,0.11674846728518605,0.2548348307609558,0.2548348307609558,0.8868781924247742,same,1.0
account,account,noisy,False,amount,False,whiskey,0.0012126050423830748,0.005589431617408991,0.021872157230973244,0.16392220728099346,0.2448962777853012,0.2448962777853012,0.4199855923652649,same,1.0
adult,adult,clear,True,adult,True,adult,0.0012409064220264554,0.029602043330669403,0.029602043330669403,0.11762068254128098,0.25990068912506104,0.25990068912506104,0.8831726312637329,same,1.0
adult,adult,noisy,True,adult,False,breakfast,0.001205797540023923,0.00036033312790095806,0.022836145013570786,0.20283448455482722,0.3023354709148407,0.3023354709148407,0.23597565293312073,same,1.0
adverb,adverb,clear,True,adverb,True,adverb,0.0012555781286209822,0.041366465389728546,0.041366465389728546,0.1157024355456233,0.2567732334136963,0.2567732334136963,0.8710787892341614,same,1.0
adverb,adverb,noisy,True,adverb,False,other,0.0012059030123054981,0.0004920532810501754,0.017345674335956573,0.1852905652821064,0.27394044399261475,0.27394044399261475,0.24924544990062714,same,1.0
advice,advice,clear,False,device,False,device,0.0012261320371180773,0.017626376822590828,0.020494047552347183,0.10650635229796171,0.22998985648155212,0.22998985648155212,0.8840939998626709,same,1.0
advice,advice,noisy,False,device,False,childhood,0.0012059487635269761,0.00025130403810180724,0.019054671749472618,0.17792346883565188,0.26076632738113403,0.26076632738113403,0.2446218878030777,same,1.0
aerial,aerial,clear,True,aerial,True,aerial,0.0012457012198865414,0.03349285200238228,0.03349285200238228,0.13361683657020332,0.29156234860420227,0.29156234860420227,0.9049203395843506,same,1.0
aerial,aerial,noisy,True,aerial,False,closet,0.0012057602871209383,0.0016563095850870013,0.019448135048151016,0.16828821959346532,0.2583521604537964,0.2583521604537964,0.4856035113334656,same,1.0
affair,affair,clear,True,affair,True,affair,0.001241737394593656,0.030267564579844475,0.030267564579844475,0.12850013663247228,0.2604023218154907,0.2604023218154907,0.9320784211158752,same,1.0
affair,affair,noisy,True,affair,False,sugar,0.0012057200074195862,0.0011403188109397888,0.01611950621008873,0.1930520778298378,0.30128875374794006,0.30128875374794006,0.3911302387714386,same,1.0
alert,alert,clear,False,sorrow,False,sorrow,0.0012281438102945685,0.019277552142739296,0.019499605521559715,0.12683107421174644,0.2518100142478943,0.2518100142478943,0.9327256679534912,same,1.0
alert,alert,noisy,False,sorrow,False,iron,0.0012057246640324593,0.0013430871767923236,0.015675388276576996,0.16694318852573634,0.26015520095825195,0.26015520095825195,0.5035970211029053,same,1.0
alien,alien,clear,False,flicker,False,flicker,0.0012402489082887769,0.029086919501423836,0.02958342246711254,0.11721164545416832,0.2592828869819641,0.2592828869819641,0.8787439465522766,same,1.0
alien,alien,noisy,False,flicker,False,disgrace,0.0012059578439220786,0.0007759400177747011,0.012269069440662861,0.16734642415493728,0.23809814453125,0.23809814453125,0.3665674328804016,same,1.0
alley,alley,clear,True,alley,True,alley,0.0012935750419273973,0.07117164134979248,0.07117164134979248,0.1493069225847721,0.32636016607284546,0.32636016607284546,0.9407757520675659,same,1.0
alley,alley,noisy,True,alley,False,upright,0.0012206638930365443,0.012099003419280052,0.013857241719961166,0.1406899008974433,0.18016253411769867,0.18016253411769867,0.7662540674209595,same,1.0
amount,amount,clear,True,amount,True,amount,0.0012649541022256017,0.04879326745867729,0.04879326745867729,0.12331068967655301,0.2732504606246948,0.2732504606246948,0.8892935514450073,same,1.0
amount,amount,noisy,True,amount,False,drizzle,0.0012059368891641498,0.00021039979765191674,0.016097944229841232,0.19493661364167927,0.2828095853328705,0.2828095853328705,0.20780375599861145,same,1.0
anchor,anchor,clear,True,anchor,True,anchor,0.0012639235937967896,0.047977983951568604,0.047977983951568604,0.1385229251869023,0.29225701093673706,0.29225701093673706,0.9117872714996338,same,1.0
anchor,anchor,noisy,True,anchor,False,many,0.0012059054570272565,0.0003915303968824446,0.015618686564266682,0.18714509534090756,0.28036946058273315,0.28036946058273315,0.3716827929019928,same,1.0
angel,angel,clear,True,angel,True,angel,0.0013200935209169984,0.09141754359006882,0.09141754359006882,0.1448052560687065,0.32198721170425415,0.32198721170425415,0.9129250645637512,same,1.0
angel,angel,noisy,True,angel,False,instinct,0.0012057736748829484,0.00040509988320991397,0.026418138295412064,0.20117543295770884,0.30473166704177856,0.30473166704177856,0.253977507352829,same,1.0
anger,anger,clear,True,anger,True,anger,0.0013133588945493102,0.08629400283098221,0.08629400283098221,0.14121099976077675,0.30832353234291077,0.30832353234291077,0.9061214923858643,same,1.0
anger,anger,noisy,True,anger,False,issue,0.0012056626146659255,0.0013280782150104642,0.015678253024816513,0.17400490628182888,0.27503275871276855,0.27503275871276855,0.4278981387615204,same,1.0
