file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
command,0.0,0.747233560090703,MFA_Ready,-40.2605078125,-46.0626475016276,4.875911714544855,7.881884173508716
maroon,0.0,0.6734920634920635,MFA_Ready,-44.50383337220149,-44.09918785095215,4.700155948556863,9.524603897454064
spinach,0.0,0.9135827664399093,MFA_Ready,-50.214720338255496,-47.05820528666178,4.266024820696782,2.735801163854095
supply,0.0,0.7721541950113379,MFA_Ready,-44.832335633116884,-46.91673278808594,4.045336153201273,13.17265714572984
music,0.0,0.8728798185941044,MFA_Ready,-48.47276849856322,-46.341343561808266,3.9448034146166004,16.90771964079949
remark,0.0,0.7606122448979592,MFA_Ready,-50.089692768297695,-48.20671399434408,3.9448019971272656,17.524994612788085
cotton,0.0,0.6567800453514739,MFA_Ready,-48.62659801136363,-51.83655700683594,3.858272879946611,1.2790735053054547
concern,0.0,0.767437641723356,MFA_Ready,-46.31280755377435,-50.78567377726237,3.7947327627431595,5.4302766442097905
bishop,0.0,0.5691836734693878,MFA_Ready,-49.86610385827851,-50.92798919677735,3.718383795222586,7.8176972142289785
fabric,0.0,0.8522222222222222,MFA_Ready,-45.6736270680147,-47.0990104675293,3.7069869764653722,15.617306131644273
revenge,0.0,0.8494104308390023,MFA_Ready,-41.92984547334559,-41.068440755208336,3.684684850829284,7.411993222387618
native,0.0,0.7784353741496599,MFA_Ready,-45.15834084535256,-43.72514877319336,3.6680042023375474,5.751669503021951
exhaust,0.0,0.8057369614512472,MFA_Ready,-51.831934799382715,-52.679247538248696,3.615583742556003,7.720309013540142
belief,0.0,0.8700680272108844,MFA_Ready,-46.96003109285201,-50.696868133544925,3.5328746074823614,1.48181348971967
household,0.0,0.8940136054421769,MFA_Ready,-51.11713812324438,-49.33262307303293,3.502652089222096,13.805998350176793
antique,0.0,0.7894557823129251,MFA_Ready,-53.42021855221519,-49.38344497680664,3.4691726645481458,12.355744534609038
mistake,0.0,0.9729024943310658,MFA_Ready,-49.72574701997423,-47.9357484181722,3.469171955803479,10.071116606607603
surprise,0.0,0.9814739229024944,MFA_Ready,-50.278878348214285,-52.62399546305338,3.409493006245719,5.738384333075032
decay,0.0,0.6182312925170068,MFA_Ready,-48.186019405241936,-56.63518047332764,3.386097809335375,4.730194528063734
even,0.0,0.6165759637188208,MFA_Ready,-48.42237115675403,-48.32429218292236,3.3835829681074205,3.96734080493831
polish,0.0,0.98281179138322,MFA_Ready,-50.080207669005105,-47.38170471191406,3.2432848173841893,3.417701384840285
wire,0.0,0.6824489795918367,MFA_Ready,-36.529472799862134,-35.40527025858561,3.224755652945609,11.002375475944305
degree,0.0,0.8223809523809524,MFA_Ready,-45.236765791730186,-53.21366958618164,3.202464378783918,5.882384394756421
victim,0.0,0.7133560090702948,MFA_Ready,-52.14306984485035,-53.51039695739746,3.1323661214290084,5.433015949153862
revolt,0.0,0.8114058956916099,MFA_Ready,-47.640200014467595,-44.54084014892578,3.1061296576135766,7.40682428899207
lion,0.0,0.6843764172335601,MFA_Ready,-35.91849293428309,-36.35222387313843,3.105006387370499,9.277570924513345
method,0.0,0.6413151927437641,MFA_Ready,-53.7862548828125,-51.291194915771484,3.083430217849113,5.228797380556205
orchid,0.0,0.6827210884353742,MFA_Ready,-50.508979348575366,-49.257545471191406,3.083430217849113,14.816635034055562
idea,0.0,0.6858730158730159,MFA_Ready,-47.61392167685688,-46.185930252075195,3.083429593157387,11.042283425340823
liar,0.0,0.7604988662131519,MFA_Ready,-40.582487407483555,-38.232504526774086,3.080465730827353,11.267038502218401
