word,cosine_similarity,clean_norm,noisy_norm
abuse,0.50361305,31.90156,14.470064
account,0.67022216,25.687658,16.72303
adult,0.6519806,35.01087,26.137701
adverb,0.6824435,27.959984,21.609585
advice,0.6564336,25.65656,17.622572
aerial,0.6080859,34.05285,24.108858
affair,0.68656266,29.212145,22.406645
alert,0.65478903,28.504395,21.864222
alien,0.5172794,47.475628,29.7905
alley,0.6209665,31.331724,22.731123
amount,0.51894224,33.31883,23.260324
anchor,0.39258736,35.48611,21.307438
angel,0.45273843,39.445145,24.411959
anger,0.39416865,46.226643,29.579786
angle,0.40279722,43.4226,26.70333
ankle,0.4923025,37.86531,21.444424
answer,0.4183499,34.527687,12.254779
antique,0.4396354,32.137825,19.165243
appeal,0.6737394,28.288815,19.11524
apple,0.6866536,12.902476,9.431121
apron,0.5510671,28.88986,26.734478
area,0.6447731,34.788177,22.461342
army,0.5306602,40.02822,27.8165
arrow,0.687464,31.875336,23.94244
artist,0.6613474,22.641428,15.141086
aspect,0.7547095,18.184492,20.09987
asphalt,0.75330746,28.756886,31.232094
assault,0.81458104,27.969479,24.919573
athlete,0.65852016,22.33791,15.162827
atom,0.6043852,33.03511,23.793169
attempt,0.634074,25.543804,17.010946
audience,0.58031774,32.586285,20.249027
author,0.67690074,19.260117,14.394021
autumn,0.5662769,31.350885,17.187407
axle,0.6487841,28.339394,27.111677
baby,0.5160678,29.455069,19.288818
background,0.7630886,21.10036,16.579502
balance,0.6742438,26.026987,23.146475
balloon,0.5865493,35.218975,21.38061
ballot,0.80132484,27.624971,26.365679
bandage,0.55933386,25.63478,18.753588
banker,0.48872077,27.123077,17.221443
bargain,0.7460695,34.961975,28.123796
barrel,0.6968651,33.553886,28.690298
basement,0.5120203,36.24042,20.424911
basin,0.60323536,29.984713,24.101168
basket,0.7097701,26.801395,19.03302
battle,0.7032222,21.24259,29.203941
beauty,0.38558248,51.525497,26.67302
beaver,0.32309383,34.34464,11.086488
bedroom,0.58402854,32.458042,24.838388
beetle,0.5392146,43.078102,23.918756
belief,0.5709164,33.25045,19.843555
belly,0.65468276,36.307083,21.122915
