Prime,Target,Condition,Counterbalance,Target identity (P=T),Degradation,index
candy.wav,candy.wav,1,a,1,1,1
orchid.wav,medicine.wav,4,a,0,0,2
horror.wav,horror.wav,1,a,1,1,3
guitar.wav,flashlight.wav,5,a,0,1,4
puppy.wav,arrow.wav,4,a,0,0,5
crisis.wav,notice.wav,4,a,0,0,6
welcome.wav,laundry.wav,4,a,0,0,7
racket.wav,rifle.wav,6,a,0,0,8
chipmunk.wav,turtle.wav,5,a,0,1,9
people.wav,people.wav,1,a,1,1,10
college.wav,passage.wav,3,a,0,1,11
canteen.wav,canteen.wav,1,a,1,1,12
chisel.wav,summer.wav,3,a,0,1,13
footware.wav,transfer.wav,5,a,0,1,14
porter.wav,exit.wav,4,a,0,0,15
salad.wav,canal.wav,3,a,0,1,16
nation.wav,display.wav,5,a,0,1,17
genius.wav,genius.wav,1,a,1,1,18
contract.wav,contract.wav,1,a,1,1,19
retreat.wav,body.wav,5,a,0,1,20
letter.wav,letter.wav,2,a,1,0,21
outside.wav,tractor.wav,6,a,0,0,22
margin.wav,platter.wav,3,a,0,1,23
mirror.wav,mirror.wav,1,a,1,1,24
cowboy.wav,drama.wav,5,a,0,1,25
filter.wav,sadden.wav,5,a,0,1,26
dispute.wav,dispute.wav,1,a,1,1,27
stomach.wav,christmas.wav,4,a,0,0,28
misuse.wav,profit.wav,6,a,0,0,29
extent.wav,extent.wav,2,a,1,0,30
wizard.wav,title.wav,3,a,0,1,31
beetle.wav,extra.wav,3,a,0,1,32
friction.wav,friction.wav,2,a,1,0,33
combine.wav,fountain.wav,3,a,0,1,34
insight.wav,insight.wav,2,a,1,0,35
kitten.wav,kitten.wav,1,a,1,1,36
bouquet.wav,bouquet.wav,2,a,1,0,37
china.wav,radish.wav,5,a,0,1,38
football.wav,athlete.wav,3,a,0,1,39
colonel.wav,protest.wav,4,a,0,0,40
crystal.wav,crystal.wav,2,a,1,0,41
nightgown.wav,nightgown.wav,1,a,1,1,42
flicker.wav,flicker.wav,1,a,1,1,43
havoc.wav,havoc.wav,2,a,1,0,44
danger.wav,danger.wav,1,a,1,1,45
party.wav,diet.wav,3,a,0,1,46
vacuum.wav,oyster.wav,5,a,0,1,47
picture.wav,brother.wav,4,a,0,0,48
mortgage.wav,nursery.wav,6,a,0,0,49
drizzle.wav,ballot.wav,3,a,0,1,50
adverb.wav,adverb.wav,2,a,1,0,51
tidy.wav,entry.wav,6,a,0,0,52
hygiene.wav,monkey.wav,5,a,0,1,53
blessing.wav,blessing.wav,2,a,1,0,54
engine.wav,perfect.wav,3,a,0,1,55
prophet.wav,prophet.wav,1,a,1,1,56
marriage.wav,marriage.wav,1,a,1,1,57
lizard.wav,fiddle.wav,3,a,0,1,58
tunnel.wav,helmet.wav,4,a,0,0,59
bottle.wav,infant.wav,5,a,0,1,60
flavor.wav,escape.wav,3,a,0,1,61
coffin.wav,disgrace.wav,4,a,0,0,62
empty.wav,adult.wav,3,a,0,1,63
effort.wav,symbol.wav,5,a,0,1,64
ladder.wav,palace.wav,6,a,0,0,65
period.wav,mileage.wav,5,a,0,1,66
baby.wav,belly.wav,6,a,0,0,67
major.wav,major.wav,2,a,1,0,68
trouble.wav,trouble.wav,1,a,1,1,69
dairy.wav,nightfall.wav,5,a,0,1,70
boredom.wav,scissors.wav,6,a,0,0,71
autumn.wav,echo.wav,3,a,0,1,72
dentist.wav,dreamer.wav,3,a,0,1,73
ideal.wav,glory.wav,3,a,0,1,74
dummy.wav,standard.wav,6,a,0,0,75
trombone.wav,pleasure.wav,6,a,0,0,76
mystic.wav,mystic.wav,2,a,1,0,77
contents.wav,contents.wav,1,a,1,1,78
finance.wav,patience.wav,3,a,0,1,79
missile.wav,entrance.wav,6,a,0,0,80
affair.wav,affair.wav,2,a,1,0,81
measure.wav,grammar.wav,6,a,0,0,82
cruiser.wav,mustard.wav,6,a,0,0,83
exhaust.wav,closet.wav,6,a,0,0,84
lesson.wav,landscape.wav,5,a,0,1,85
gallon.wav,difference.wav,6,a,0,0,86
miner.wav,lemon.wav,3,a,0,1,87
voter.wav,record.wav,6,a,0,0,88
artist.wav,lawyer.wav,4,a,0,0,89
hobby.wav,former.wav,4,a,0,0,90
relief.wav,relief.wav,2,a,1,0,91
supply.wav,supply.wav,1,a,1,1,92
ticket.wav,ticket.wav,2,a,1,0,93
culture.wav,culture.wav,2,a,1,0,94
respect.wav,respect.wav,1,a,1,1,95
output.wav,basement.wav,5,a,0,1,96
physics.wav,physics.wav,1,a,1,1,97
aerial.wav,merit.wav,5,a,0,1,98
mister.wav,special.wav,3,a,0,1,99
teacher.wav,statement.wav,4,a,0,0,100
iron.wav,justice.wav,4,a,0,0,101
navy.wav,navy.wav,2,a,1,0,102
cider.wav,cider.wav,2,a,1,0,103
stable.wav,puddle.wav,4,a,0,0,104
organ.wav,mustache.wav,6,a,0,0,105
poster.wav,poster.wav,1,a,1,1,106
modern.wav,soldier.wav,4,a,0,0,107
issue.wav,issue.wav,1,a,1,1,108
budget.wav,budget.wav,2,a,1,0,109
shadow.wav,grocer.wav,6,a,0,0,110
under.wav,streamer.wav,3,a,0,1,111
apple.wav,asphalt.wav,3,a,0,1,112
question.wav,tourist.wav,3,a,0,1,113
service.wav,shower.wav,5,a,0,1,114
method.wav,method.wav,1,a,1,1,115
mimic.wav,cigar.wav,4,a,0,0,116
toilet.wav,toilet.wav,2,a,1,0,117
menu.wav,dropper.wav,6,a,0,0,118
witness.wav,pudding.wav,3,a,0,1,119
pardon.wav,pardon.wav,1,a,1,1,120
outbreak.wav,substance.wav,5,a,0,1,121
liar.wav,alert.wav,6,a,0,0,122
murder.wav,robin.wav,5,a,0,1,123
casket.wav,casket.wav,2,a,1,0,124
thunder.wav,shortage.wav,6,a,0,0,125
quiet.wav,kernel.wav,6,a,0,0,126
bedroom.wav,grocer2.wav,3,a,0,1,127
lighter.wav,lighter.wav,2,a,1,0,128
walrus.wav,walrus.wav,2,a,1,0,129
chaos.wav,builder.wav,5,a,0,1,130
penny.wav,zero.wav,4,a,0,0,131
champion.wav,creature.wav,3,a,0,1,132
city.wav,moment.wav,5,a,0,1,133
support.wav,manure.wav,4,a,0,0,134
lady.wav,seller.wav,4,a,0,0,135
blunder.wav,blunder.wav,1,a,1,1,136
mistress.wav,banker.wav,4,a,0,0,137
concert.wav,beaver.wav,4,a,0,0,138
even.wav,carbon.wav,5,a,0,1,139
prayer.wav,bother.wav,6,a,0,0,140
concept.wav,mixer.wav,6,a,0,0,141
design.wav,column.wav,3,a,0,1,142
refuse.wav,motion.wav,3,a,0,1,143
spinach.wav,footstep.wav,6,a,0,0,144
format.wav,lettuce.wav,6,a,0,0,145
zipper.wav,berry.wav,3,a,0,1,146
system.wav,convent.wav,6,a,0,0,147
pepper.wav,pepper.wav,1,a,1,1,148
sender.wav,vapour.wav,3,a,0,1,149
challenge.wav,challenge.wav,1,a,1,1,150
choir.wav,choir.wav,1,a,1,1,151
clover.wav,midnight.wav,4,a,0,0,152
blanket.wav,pretence.wav,4,a,0,0,153
mixture.wav,mixture.wav,2,a,1,0,154
dandruff.wav,dandruff.wav,2,a,1,0,155
worker.wav,captain.wav,6,a,0,0,156
minute.wav,soccer.wav,5,a,0,1,157
person.wav,person.wav,2,a,1,0,158
thistle.wav,cancer.wav,4,a,0,0,159
boating.wav,unit.wav,3,a,0,1,160
carpet.wav,whisper.wav,4,a,0,0,161
chapel.wav,chapel.wav,2,a,1,0,162
hatchet.wav,riot.wav,6,a,0,0,163
metal.wav,metal.wav,2,a,1,0,164
pimple.wav,nephew.wav,6,a,0,0,165
concern.wav,tulip.wav,5,a,0,1,166
control.wav,outfit.wav,4,a,0,0,167
magic.wav,giant.wav,5,a,0,1,168
defense.wav,channel.wav,3,a,0,1,169
remark.wav,remark.wav,1,a,1,1,170
common.wav,common.wav,2,a,1,0,171
cannon.wav,cradle.wav,4,a,0,0,172
hardship.wav,belief.wav,5,a,0,1,173
treatment.wav,treatment.wav,1,a,1,1,174
office.wav,office.wav,1,a,1,1,175
vessel.wav,soda.wav,4,a,0,0,176
career.wav,kettle.wav,5,a,0,1,177
lecture.wav,lecture.wav,1,a,1,1,178
distance.wav,distance.wav,2,a,1,0,179
suspect.wav,suspect.wav,2,a,1,0,180
chuckle.wav,chuckle.wav,2,a,1,0,181
pressure.wav,pronoun.wav,5,a,0,1,182
disease.wav,disease.wav,1,a,1,1,183
childhood.wav,water.wav,6,a,0,0,184
flower.wav,granny.wav,6,a,0,0,185
reason.wav,alley.wav,5,a,0,1,186
collar.wav,collar.wav,2,a,1,0,187
purpose.wav,instinct.wav,6,a,0,0,188
cotton.wav,sucker.wav,6,a,0,0,189
virtue.wav,virtue.wav,1,a,1,1,190
linen.wav,better.wav,5,a,0,1,191
ceiling.wav,wallet.wav,4,a,0,0,192
balance.wav,apron.wav,4,a,0,0,193
trainer.wav,bullet.wav,4,a,0,0,194
results.wav,revenge.wav,4,a,0,0,195
alien.wav,pastor.wav,4,a,0,0,196
spider.wav,cousin.wav,5,a,0,1,197
marvel.wav,account.wav,4,a,0,0,198
abuse.wav,abuse.wav,2,a,1,0,199
member.wav,member.wav,2,a,1,0,200
fire.wav,fire.wav,1,a,1,1,201
army.wav,cellar.wav,4,a,0,0,202
barrel.wav,barrel.wav,1,a,1,1,203
nonsense.wav,anchor.wav,5,a,0,1,204
pliers.wav,regret.wav,4,a,0,0,205
onion.wav,hotel.wav,4,a,0,0,206
weather.wav,parcel.wav,6,a,0,0,207
squirrel.wav,salute.wav,4,a,0,0,208
mattress.wav,station.wav,6,a,0,0,209
function.wav,function.wav,2,a,1,0,210
answer.wav,answer.wav,2,a,1,0,211
brandy.wav,incline.wav,6,a,0,0,212
button.wav,knuckle.wav,5,a,0,1,213
mankind.wav,mankind.wav,2,a,1,0,214
