Word,ONsize,Frequency,NumSemFeats
trod,2,0.019423697,3
pant,9,0.025161535,9
robe,5,0.04205288,10
slew,7,0.027564298,4
mint,10,0.03857022,8
sale,15,0.05060384,10
plan,3,0.0642573,6
gram,6,0.032808986,7
mood,7,0.052893218,8
faux,1,0.023797268,8
frog,2,0.044635627,14
bode,8,0.019742265,6
core,20,0.043190368,4
tour,5,0.052113894,7
talc,3,0.014630767,10
scar,8,0.04203488,3
jolt,5,0.027902665,4
also,1,0.06697863,3
bore,13,0.041336548,3
hind,8,0.032386027,4
herb,5,0.037895285,12
sear,18,0.014006227,8
ally,1,0.052571047,8
mope,10,0.022373607,8
limb,5,0.037389535,10
weep,8,0.03865481,6
maim,3,0.019090729,5
knit,2,0.030420618,11
bold,10,0.041136768,5
jell,9,0.00979284,8
leaf,6,0.038226455,8
prep,3,0.041136768,2
poem,1,0.045755114,8
bare,16,0.041907094,5
lard,9,0.02949011,11
silk,7,0.04315977,12
yogi,1,0.023417505,6
plod,5,0.008588758,6
exit,2,0.046784613,6
hone,13,0.023016144,5
fuzz,2,0.030260434,2
lime,13,0.034680802,11
prey,3,0.03868181,9
bunt,9,0.023797268,10
rape,12,0.046996996,4
gale,13,0.037772898,8
flip,5,0.04610608,5
fore,15,0.03298177,5
plot,7,0.044479042,11
tier,2,0.025906662,4
fold,11,0.042177066,6
fuel,3,0.04755134,8
dung,7,0.029841075,6
thee,3,0.050794624,4
arid,4,0.016727561,7
hoot,13,0.03286658,7
torn,8,0.04396069,5
weak,6,0.052290276,6
folk,3,0.04072101,6
cope,14,0.034587212,7
spud,4,0.024841165,10
coma,3,0.044928998,10
dire,11,0.03153471,6
hose,10,0.04164612,5
foil,9,0.026966758,9
peep,11,0.036986377,4
fawn,4,0.022807365,8
spin,5,0.046296865,7
stow,5,0.027211534,4
size,2,0.055268984,4
hock,11,0.031394325,6
east,8,0.05582693,7
rail,12,0.037223954,7
pest,13,0.03359011,8
raft,4,0.03745433,7
host,6,0.046503842,5
lube,4,0.022593185,12
cute,4,0.060292292,4
sate,15,0.007163298,3
tuck,11,0.04155073,10
eats,2,0.045161173,10
spew,5,0.019742265,6
eave,8,0.008588758,6
slat,14,0.007163298,5
hawk,3,0.045222368,9
waxy,2,0.018379798,7
rank,8,0.04205288,6
june,3,0.04828207,9
reap,6,0.032808986,8
awry,2,0.020903151,4
fade,8,0.038820397,5
item,1,0.044954196,8
vine,12,0.031180145,5
cult,3,0.03702057,9
sail,12,0.04581091,8
fend,11,0.024841165,4
sped,6,0.021912852,2
mold,11,0.0367416,9
whoa,1,0.064854845,8
blob,7,0.026714781,6
lend,11,0.044531237,10
glob,4,0.00979284,4
nova,0,0.03837224,7
afro,0,0.026320621,7
wort,10,0.017998235,5
seep,11,0.012580767,11
bent,15,0.040784,5
whom,3,0.05315419,8
nude,4,0.039218158,3
cock,9,0.044333257,7
alum,3,0.010836738,9
toad,3,0.038928386,9
tone,14,0.047407355,6
duly,3,0.027791077,4
earl,1,0.048906606,10
dorm,5,0.0408056,9
fang,6,0.03049981,9
crap,7,0.05755116,7
sank,10,0.031394325,3
tick,10,0.0408272,10
axed,4,0.016254207,3
posh,6,0.027330322,6
tack,14,0.03125214,5
zinc,1,0.024162631,11
disk,7,0.040121667,5
data,1,0.050670434,10
daft,3,0.027677687,5
able,2,0.06498263,4
vice,9,0.04818488,10
goof,8,0.0316031,4
gasp,3,0.029668292,5
crow,5,0.03702057,7
hack,11,0.042106874,7
fowl,8,0.022593185,12
lots,1,0.05734238,3
boot,16,0.04416947,10
font,4,0.02500315,9
taxi,0,0.050740626,12
type,4,0.057405375,5
heap,8,0.037740503,4
west,12,0.057392776,9
nape,6,0.014630767,9
gait,4,0.016727561,3
jerk,1,0.05268264,4
funk,9,0.034349635,9
judo,0,0.025161535,11
gent,10,0.029122947,7
reed,12,0.042592827,5
riot,2,0.039957885,13
dork,7,0.036525622,5
gala,2,0.029841075,10
guts,0,0.05008009,6
bush,10,0.04601969,10
swam,12,0.032260038,7
vain,5,0.039981283,8
tong,6,0.031806484,10
vamp,4,0.024841165,4
doom,6,0.038820397,6
lame,14,0.044016488,7
lamb,3,0.043804105,12
amen,1,0.050782025,7
