Word,ONsize,Frequency,NumSemFeats
cone,15,0.033748493,10
john,1,0.066480085,8
pulp,3,0.03009485,6
cure,11,0.04906139,9
oily,1,0.025161535,7
fuse,4,0.037709903,11
yard,5,0.05050125,12
sunk,12,0.03735714,3
spay,8,0.00979284,9
seed,15,0.041156568,8
work,9,0.0775472,7
moon,8,0.055891722,10
tidy,2,0.03559691,5
bike,9,0.050753225,14
heat,11,0.05416929,7
hero,5,0.055871926,9
tomb,3,0.038847394,7
spec,2,0.024337215,2
pool,8,0.05541117,10
cape,13,0.041815303,2
leer,6,0.020345205,3
plot,7,0.044479042,11
shop,7,0.05643347,10
wore,19,0.04919278,7
mold,11,0.0367416,9
bare,16,0.041907094,5
curl,5,0.03206926,7
army,1,0.06010691,11
sage,12,0.029754683,11
glad,3,0.06552438,8
dare,14,0.056699842,6
reek,9,0.02467738,5
beer,11,0.059117008,12
info,1,0.03559691,6
blow,8,0.06112201,5
limp,10,0.03551412,4
soft,5,0.052416265,4
this,2,0.09554364,4
muck,11,0.030420618,5
grab,6,0.058622055,5
cook,11,0.05517179,10
flab,8,0.012580767,4
dune,9,0.025467504,7
pray,5,0.053377368,8
tuba,2,0.02684257,9
hobo,0,0.029927468,7
joke,5,0.058856033,8
ford,10,0.044426847,8
pull,10,0.0642951,6
gunk,7,0.019742265,7
pear,13,0.027677687,10
yoke,5,0.019090729,5
hide,9,0.058490667,3
amen,1,0.050782025,7
guts,0,0.05008009,6
comb,5,0.039423335,8
rode,10,0.043629523,4
desk,3,0.05488022,8
gape,9,0.0054192687,6
stab,8,0.042301256,6
slat,14,0.007163298,5
gulf,3,0.037486725,8
vise,8,0.018379798,8
saga,1,0.023610087,8
lamp,8,0.04530516,11
skit,8,0.02398265,10
holy,2,0.058316085,10
glob,4,0.00979284,4
step,4,0.06265186,7
lazy,3,0.044479042,8
rape,12,0.046996996,4
vine,12,0.031180145,5
pipe,6,0.048498046,6
slam,14,0.03908857,4
firm,4,0.05317219,7
foxy,1,0.034104858,3
beau,6,0.039140765,8
mist,8,0.035260346,7
vest,11,0.0387646,11
pest,13,0.03359011,8
goes,1,0.0673782,4
loom,8,0.018743362,7
poll,8,0.032508414,8
show,7,0.07370818,11
pump,10,0.045161173,7
arid,4,0.016727561,7
golf,4,0.050645236,11
scat,9,0.027330322,7
hush,9,0.041196164,4
flan,7,0.02949011,11
nude,4,0.039218158,3
cool,10,0.06656828,7
sure,5,0.08005436,4
nine,9,0.058238693,8
daft,3,0.027677687,5
also,1,0.06697863,3
gill,12,0.029580101,8
band,10,0.056413673,9
lobe,6,0.030260434,5
neon,2,0.03359011,13
tool,8,0.0438905,8
card,9,0.060083512,7
tops,3,0.04093159,1
anew,1,0.024337215,5
slew,7,0.027564298,4
curd,7,0.019090729,8
pure,6,0.050458055,9
foul,6,0.04621227,5
bask,9,0.021167725,6
bonk,9,0.017175717,5
sass,4,0.024841165,5
mock,9,0.038485628,5
grim,7,0.037583917,4
ahoy,0,0.03559691,7
hoax,1,0.032260038,10
grow,4,0.057255987,6
gale,13,0.037772898,8
iris,0,0.03837224,8
flow,8,0.04581091,5
jade,3,0.03804827,9
fend,11,0.024841165,4
born,9,0.05992153,4
such,3,0.06966757,4
stem,4,0.031671498,9
boar,4,0.031464517,11
lent,13,0.035636507,10
mime,8,0.026455607,9
soot,15,0.026047047,10
post,12,0.052515253,5
leak,8,0.043435145,5
rage,10,0.044291858,8
java,1,0.028735984,9
twin,3,0.04365832,6
pole,13,0.04512518,3
flip,5,0.04610608,5
shoe,3,0.052007705,12
whoa,1,0.064854845,8
evil,0,0.05887043,4
blue,3,0.061498173,7
typo,2,0.022373607,8
bold,10,0.041136768,5
belt,10,0.05027807,9
felt,7,0.06272745,8
lady,2,0.067370996,10
lore,16,0.022373607,9
swam,12,0.032260038,7
buzz,1,0.046978995,4
bawl,3,0.020903151,7
gain,6,0.045800112,2
hump,7,0.03695218,4
kept,1,0.060438078,6
eats,2,0.045161173,10
puck,12,0.033644103,10
laid,7,0.051890716,6
view,0,0.05386152,5
send,9,0.06589874,7
flap,9,0.03298177,3
mitt,4,0.027902665,7
seek,10,0.048051693,6
stag,7,0.029027555,8
auto,1,0.041257355,12
wove,7,0.014630767,7
talk,8,0.07808535,9
rest,11,0.06722161,5
coin,5,0.043127373,5
gait,4,0.016727561,3
trip,5,0.059800938,6
puny,3,0.028331023,4
twit,2,0.028010655,2
tray,4,0.04162632,11
sock,11,0.042490236,8
rank,8,0.04205288,6
dick,13,0.056352478,1
vast,8,0.03947373,8
rack,11,0.041376144,7
pale,13,0.041608322,2
dogs,2,0.056356076,10
noon,8,0.0479671,5
spar,9,0.022807365,3
rake,14,0.03390328,7
cope,14,0.034587212,7
even,2,0.07827433,7
roof,7,0.05325318,10
wipe,7,0.04741635,5
gist,4,0.026185634,6
days,0,0.070047334,7
chap,5,0.0397923,1
fuel,3,0.04755134,8
vice,9,0.04818488,10
calf,3,0.033851083,8
feel,7,0.07566459,7
jail,10,0.058596857,5
main,7,0.05466964,4
roam,5,0.03490758,7
find,10,0.07786397,5
unto,3,0.04121776,4
snot,7,0.03125214,11
bust,12,0.05124638,7
oxen,3,0.019090729,10
dunk,11,0.032808986,5
duel,4,0.03206926,10
jerk,1,0.05268264,4
bony,8,0.02684257,6
miss,8,0.07336981,4
heel,7,0.040972985,6
mask,7,0.04866363,8
wort,10,0.017998235,5
tame,11,0.033208545,7
draw,3,0.054234084,7
emit,3,0.018379798,4
kids,2,0.06992855,6
blip,3,0.023797268,3
area,0,0.059057612,7
mill,14,0.04295279,7
stow,5,0.027211534,4
them,3,0.083812386,2
bile,11,0.023610087,11
maze,10,0.032690197,8
fray,4,0.02500315,4
jinx,0,0.036190853,4
slaw,9,0.017175717,10
tuck,11,0.04155073,10
bull,12,0.05123018,8
fizz,1,0.021671677,7
wavy,4,0.020903151,4
bulk,7,0.030420618,6
port,10,0.04624467,8
taco,2,0.03420385,11
ooze,2,0.02062958,6
tilt,7,0.0316031,5
axis,1,0.029027555,7
harp,7,0.032924175,11
turd,3,0.033320136,8
rain,7,0.055724338,8
moss,7,0.033537913,8
dove,12,0.0387646,10
oink,7,0.026047047,5
give,6,0.08052411,2
fort,10,0.04671442,7
hunk,12,0.03816706,3
dyke,3,0.032808986,4
chug,2,0.032004464,5
porn,8,0.04449344,5
drum,1,0.04203488,9
live,11,0.070983246,2
meek,7,0.029668292,9
tick,10,0.0408272,10
solo,4,0.042106874,5
raft,4,0.03745433,7
doll,8,0.05040766,5
brie,2,0.02467738,10
stub,4,0.025161535,4
