category,count,mean_f1,min_f1,max_f1
ANIMAL,11,0.7871034812715993,0.7228545585886027,0.8375490540947668
APPLIANCE,5,0.6968568979477958,0.5933420958834723,0.8981107762761982
BIRD,4,0.7974860862163657,0.7539330903839424,0.8707338196964645
BUILDING,5,0.7167350392906394,0.6393554816260925,0.8086409893373426
CLOTHING,7,0.7020751382864461,0.567507197128894,0.8140708099843305
COMMUNICATION,2,0.6508923657081075,0.644362121805681,0.657422609610534
CONTAINER,5,0.6756620341104462,0.5184456849796598,0.7988153399317648
EVENT,2,0.6601644530584369,0.569199741648874,0.7511291644679997
FOOD,4,0.7550537003849843,0.7133133049058095,0.7950013863987193
FRUIT,5,0.8081443745975104,0.7754924537194526,0.8603235966425751
FURNITURE,5,0.7150476938169599,0.6767718596189536,0.7721578883884791
INSECT,1,0.6996796361969962,0.6996796361969962,0.6996796361969962
MATERIAL,1,0.6480438368618271,0.6480438368618271,0.6480438368618271
MUSICAL_INSTRUMENT,4,0.7405117555792614,0.6505331310779556,0.7760329971661956
OTHER,1,0.6398492685129349,0.6398492685129349,0.6398492685129349
PERSON,2,0.648990926912901,0.5825248424571309,0.715457011368671
PLANT,5,0.6510375189446549,0.49421925777850284,0.7637794981040144
ROOM,3,0.6964178173041923,0.6409909827713101,0.7973055291325559
STATE,1,0.66227446319573,0.66227446319573,0.66227446319573
TOOL,11,0.6847959903205787,0.5264508228024521,0.7882883266141223
VEGETABLE,4,0.7850542763021897,0.7617007872871145,0.8124081594360701
VEHICLE,4,0.6502538282743914,0.6228188507679442,0.7044707775075344
WEAPON,6,0.7674980681635538,0.6781454327967466,0.8610396239194966
