category,strategy,count,mean_f1
FRUIT,category,5,0.8081
BIRD,category,4,0.7975
ANIMAL,category,11,0.7871
VEGETABLE,category,4,0.7851
WEAPON,category,6,0.7675
FOOD,category,4,0.7551
MUSICAL_INSTRUMENT,category,4,0.7405
INSECT,general,1,0.7325
BUILDING,category,5,0.7167
FURNITURE,category,5,0.7150
APPLIANCE,general,5,0.7041
CLOTHING,category,7,0.7021
ROOM,category,3,0.6964
TOOL,general,11,0.6949
CONTAINER,category,5,0.6757
EVENT,general,2,0.6675
STATE,category,1,0.6623
PLANT,category,5,0.6510
COMMUNICATION,category,2,0.6509
VEHICLE,category,4,0.6503
PERSON,category,2,0.6490
MATERIAL,category,1,0.6480
OTHER,category,1,0.6398


